post,username,mbti,titles_all
18387,theprocrastinatingmaster, INTP - The Thinkers,"['Shostakovich String Quartet No. 8 in C Minor ', 'Shostakovich String Quartet No. 8 - 2nd & 3rd Mvt']"
18388,orchidion, Unknown,[]
18389,theprocrastinatingmaster, INTP - The Thinkers,[]
18390,vengeance, INFP - The Idealists,['Protest The Hero - Limb From Limb  !']
18391,hikikomori, Unknown,['Behexen - Canto I - Invocation of Zabulus']
18392,heaveninawildflower, Unknown,['Dark haunting violin : Ghost Lullaby by Max Ablitzer']
18393,lycrester, INFJ - The Protectors,['Queens of the Stone Age - My God Is The Sun']
18394,phony, Unknown Personality,"['Ra Ra Riot - ""Beta Love"" ']"
18395,cheveyo, Unknown,[]
18396,surreal-snake, INFJ,['Slayer ~ Angel of Death ']
18397,scootaloo, INFJ - The Protectors,['Here is the House by Depeche Mode!']
18398,smolio, INTP - The Thinkers,['New Breed of Skank by Empty Space Orchestra']
18399,aquamarine, INTP - The Thinkers,"['We Are Young - Pentatonix ', 'Olivia Ong Bittersweet Concert Memory']"
18400,kaiserinrose, ISFJ - The Nurturers,[]
18401,shurikenphoenix, INFP - The Idealists,['Knights Of Cydonia by Muse for maybe the fifth time in a row']
18402,aquamarine, INTP - The Thinkers,['Umbrella Performed by Marie Digby ']
18403,yet-another-intj, INTJ,['P.O.D. - Lost In Forever  ']
18404,phony, Unknown Personality,"['Ra Ra Riot - ""Beta Love"" ']"
18405,teslaesoteric, INFJ - The Protectors,['Final fantasy X - Besaid prayer chant']
18406,yet-another-intj, INTJ,['Mr Roboto  - Styx']
18407,nadej, INFP,['Cat Stevens - sun/C79']
18408,bipedal-p-314, INTP,"['The Blues Brothers JailHouse Rock', ""Blues Brothers - 'Sweet Home Chicago'""]"
18409,random-user, INTP - The Thinkers,['Gwar - Carry on My Wayward Son']
18410,bipedal-p-314, INTP,['John Adams HBO Opening Titles']
18411,aquamarine, INTP - The Thinkers,"['Ingrid Michaelson -  Everybody', 'BOBBY VINTON - Sealed With A Kiss']"
18412,aquamarine, INTP - The Thinkers,"['A thousand years love song', 'A Thousand Year Love Song Sennen Koi Uta english    YouTube']"
18413,aya-the-abysswalker, ENFP,[]
18414,impermanence, ISFJ - The Nurturers,['OneRepublic - Good Life']
18415,cheveyo, Unknown,['Audioslave - Like a Stone ']
18416,refugee, INFP - The Idealists,['Bruno Mars - Grenade ']
18417,brian1, ESTP - The Doers,['Manfred Mann - Blinded by the Light']
18418,eerie, INTP - The Thinkers,[]
18419,orchidion, Unknown,['Paganini Caprice no.24 ']
18420,neonbomb, INFP - The Idealists,['Ben Howard - Keep Your Head Up']
18421,bipedal-p-314, INTP,[]
18422,surreal-snake, INFJ,['Midnight Oil - Truganini']
18423,sophiascorpia, Unknown Personality,['You Were There - Southern Sons']
18424,aya-the-abysswalker, ENFP,[]
18425,eos_machai, INFP - The Idealists,['Belle & Sebastian - Lord Anthony']
18426,theprocrastinatingmaster, INTP - The Thinkers,[]
18427,kaiserinrose, ISFJ - The Nurturers,[' RobertaFlack']
18428,aquamarine, INTP - The Thinkers,"['Bruno Mars - Grenade ', 'Floating Subway -Li Yuchun', '1030 \\xe9\\x8b\\xbc\\xe7\\x90\\xb4\\xe7\\x89\\x88']"
18429,yet-another-intj, INTJ,[]
18430,collie, INTJ - The Scientists,['Testament - 3 Days in Darkness']
18431,orchidion, Unknown,[]
18432,aya-the-abysswalker, ENFP,['Arctic Monkeys Crying Lightning ']
18433,whippit, ENFP - The Inspirers,['The Sword - How Heavy This Axe ']
18434,promethea, Unknown Personality,[]
18435,knght990, INTJ - The Scientists,"['I Gave You All"" - Mumford & Sons ']"
18436,teppanyaki26, Unknown Personality,[]
18437,dragthewaters, INFP - The Idealists,[]
18438,yet-another-intj, INTJ,['Quantic - Infinite Regression']
18439,cheveyo, Unknown,['The Police - Every Little Thing She Does Is Magic']
18440,orchidion, Unknown,"['The Sword - How Heavy This Axe ', 'Pentagram - The Ghoul']"
18441,teppanyaki26, Unknown Personality,['LANA DEL REY - LUCKY ONES ']
18442,yet-another-intj, INTJ,[' The Mars Volta - Inertiatic ESP _']
18443,aquamarine, INTP - The Thinkers,[]
18444,uninfalliple, INFP - The Idealists,"['Matt and Kim - ""Daylight"" ']"
18445,brian1, ESTP - The Doers,['Heart - Crazy On You ']
18446,brian1, ESTP - The Doers,['grateful dead - Turn On Your Love Light - Skeletons From The']
18447,aya-the-abysswalker, ENFP,['Daft Punk - Get Lucky ']
18448,aquamarine, INTP - The Thinkers,"['\\xe5\\xba\\xbe\\xe6\\xbe\\x84\\xe5\\xba\\x86-\\xe6\\x98\\xa5\\xe6\\xb3\\xa5The soil of the spring eng translation', 'A1 - Like a rose']"
18449,refugee, INFP - The Idealists,['Contra 4 - Stage 1: Jungle ']
18450,heaveninawildflower, Unknown,[]
18451,cheveyo, Unknown,"['Weird Al"" Yankovic - Trapped In The Drive-Thru']"
18452,orchidion, Unknown,"['Blue Drag - Django Reinhardt', 'Thee Oh Sees - The Dream']"
18453,wormwood, Unknown Personality,['The Barons Of Tang - The Dogs Of Rotterdam | Live | Moshcam']
18454,theupwarddescent, INTJ - The Scientists,"['Shining - Tillsammans Ar Vi Allt', 'Shining - Tillsammans Ar Vi Allt']"
18455,aya-the-abysswalker, ENFP,['No More Heroes 2 OST - Dark Side A: Beam Katana Chronicles II ~ RANK 51 Skelter Helter']
