,0,1,2,3,4,5,6,7,8,9
75,"No, no, no, no more tomorrow No, no, no, no more tomorrow  사랑은 받는다고 갖는 게 시간은 걷는다고 가는 게 사람은 숨 쉰다고 사는 게 아닌데 Baby there's no, no tomorrow 그때 그대로 난 멈춰있고 마지막 그 순간에 머문 시간 너에겐 그저 지난날이지만  Baby there's no, no, no, no more tomorrow 'Til you come back, everyday is yesterday Baby there's no, no, no, no more tomorrow  가슴을 찢던 그 기억이 달력을 찢고 한해처럼 저물어가, 너를 잊고 사는 척 하기도 해 아직도 내 세상은 변함없어 (너만 없어) 사람들은 다, 돌아보면 웃게 되는 거래, 너를 향했던 고개를 틀기도 힘든 내게 듣기도 싫은데 왜 떠들까? 난 여기서 머문 듯 하지마라, 내일은 해가 뜬다는 말 너와의 밤보다 캄캄한 아침일 테니 비온 뒤에 땅이 굳는다는 말 너와의 근심보다 답답한 안심일 테니 다 엉망이잖아 너에게는 다시 봄이지만 내 계절은 변하지 않아 내 마음이 또 싹튼다 해도 I've got no tomorrow  Baby there's no, no tomorrow 그때 그대로 난 멈춰있고 마지막 그 순간에 머문 시간 너에겐 그저 지난날이지만  Baby there's no, no, no, no more tomorrow 'Til you come back, everyday is yesterday Baby there's no, no, no, no more tomorrow  속은 텅 빈 죽은 미소인데 너를 만날 때보다 좋아 보인대 이젠 한숨이 놓인대, 난 숨이 조이네 미소가 나만 못 속이네, yeah, 평범해지긴 했어 마음이 짐이 돼서 많이 비워냈어, 정말 미치겠어 내겐 들리지 않는 위로들 제발 그만해 사랑은 다른 사랑으로 잊는다는 말 나에겐 이별보다 쓸쓸한 만남일 테니 시간이 다 해결해준다는 말 나에겐 매순간이 죽은듯한 삶일 테니 그래, 사랑이란 건 받는다고 갖는 게 시간이란 건 걷는다고 가는 게 사람은 숨을 쉰다고 사는 게 아닌 걸 이젠 아는데  No, no more tomorrow No, no more tomorrow 네가 돌아올 때까진 No, no, no more tomorrow 내게 돌아올 때까진 No, no, no more tomorrow  Baby there's no, no tomorrow 그때 그대로 난 멈춰있고 마지막 그 순간에 머문 시간 너에겐 그저 지난날이지만  Baby there's no, no, no, no more tomorrow (no, no more) 'Til you come back, everyday is yesterday Baby there's no, no, no, no more tomorrow (no more) 'Til you come back ('til you come back), everyday is yesterday No, no, no, no more tomorrow 'Til you come back, everyday is yesterday Baby there's no, no, no, no more tomorrow (no, no more)",,,,,,,,,
76,"There's great danger (danger) For the loneliest ranger in town No silver bullets (bullets) Tonto's split the scene Next week will solve your problems But now Fish fingers all in a line The milk bottles stand empty Stay glued to your T.V. set (T.V.) There's great danger And most caped crusader of all No cloak of justice Robin's quit the scene Next week will solve your problems But now Fish fingers all in a line The milk bottles stand empty Stay glued to your T.V. set (T.V.) (T.V.) stay glued to your T.V. set (T.V.) oh, oh (T.V.) stay glued to your T.V. set (T.V.) oh, oh (T.V.) stay glued to your T.V. set (T.V.) oh, oh (T.V.) stay glued to your T.V. set (T.V.) oh, oh (T.V.) stay glued to your T.V. set (T.V.) oh, why don't ya, don't ya, don't ya (T.V.) stay glued to your T.V. set (T.V.) (T.V.) stay glued to your T.V. set (T.V.) oh, why don't ya, don't ya, don't ya (T.V.) stay glued to that and your T.V. set (T.V.)",,,,,,,,,
77,,,,,,,,,,
78,"You've been cryin' Your face is a mess Come in baby You can dry the tears on my dress She's hurt you again I can tell Oh, I know that look so well Don't be shy You've been here before Pull your shoes off, lie down And I will lock the door And no-one has to know You've come here again Darling it will be Like it's always been before Come on over here Breakfast in bed And a kiss or three You don't have to say you love me Breakfast in bed Nothing need be said Ain't no need What's your hurry? Please don't eat and run You can let her wait, my darling It's been so long Since I've had you here You will come again Darling it will be Like it's always been before Hey child Breakfast in bed And a kiss or three You don't have to say you love me Breakfast in bed Nothing need be said Breakfast in bed And a kiss or three You don't have to say you love me Breakfast in bed Nothing need be said, yeah",,,,,,,,,
79,"It's one o'clock and time for lunch, When the sun beats down and I lie on the bench, I can always hear them talk. There's always been Ethel: ""Jacob, wake up! You've got to tidy your room now."" And then Mister Lewis: ""Isn't it time that he was out on his own?"" Over the garden wall, two little lovebirds - cuckoo to you! Keep them moving blades sharp... I know what I like, and I like what I know; Getting better in your wardrobe, stepping one beyond your show. Sunday night, Mr Farmer called, said: ""Listen son, you're wasting your time; there's a future for you In the fire escape trade. Come up to town!"" But I remembered a voice from the past; ""Gambling only plays when you're winning"" I had to thank old Miss Mort for schooling a failure. Keep them moving blades sharp. I know what I like, and I like what I know; Getting better in your wardrobe, stepping one beyond your show. When the sun beats down and I lie on the bench, I can always hear them talk. Me, I'm just a lawnmower you can tell me by the way I walk.","""Can you tell me where my country lies?"" Said the uni faun to his true love's eyes ""It lies with me!"" cried the Queen of Maybe For her merchandise, he traded in his prize ""Paper late!"" cried a voice in the crowd ""Old man dies!"" The note he left was signed 'Old Father Thames' It seems he's drowned Selling england by the pound Citizens of Hope & Glory, Time goes by, it's ""the time of your life"" Easy now, sit you down Chewing through your Wimpey dreams, They eat without a sound Digesting England by the pound Young man says ""you are what you eat"" eat well Old man says ""you are what you wear"" wear well You know what you are, you don't give a damn Bursting your belt that is your homemade sham The Captain leads his dance right on through the night Join the dance Follow on! Till the Grail sun sets in the mould Follow on! Till the gold is cold Dancing out with the moonlit knight, Knights of the Green Shield stamp and shout There's a fat old lady outside the saloon laying out the credit cards she plays Fortune The deck is uneven right from the start And all of their hands are playing apart The Captain leads his dance right on through the night Join the dance Follow on! A round table talking down we go You're the show Off we go with, you play the hobbyhorse, I'll play the fool We'll tease the bull Ringing round & loud, loud & round Follow on! With a twist of the world we go Follow on! Till the gold is cold Dancing out with the moonlit knight, Knights of the Green Shield stamp and shout",,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,"Hey baby. Where you going? You look good to me. You look good to me. Walking by yourself. Maybe I can help I wanna, I wanna, Do you wanna do some cocaine? I wanna, I wanna, Do you wanna do some cocaine? Baby just ignore the consequence, You look like you could use a little confidence. So follow me into a better dream in paradise. And now that you know what this feeling's like, You know you can have it for the rest of your life. Just follow me, just follow me She high as fuck up in my truck, Shocked up looking for a bitch to fuck. I'm high on coke, she high on coke. Coast to coast baby float my boat, Got coke to sniff and weed to roast. Plus no need to boast; let's snort Two in the back, one in the front, Do you wanna ride in my car I wanna, I wanna, Do you wanna do some cocaine? I wanna, I wanna, Do you wanna do some cocaine? Hey don't trip I'll just try it once I wanna, I wanna, Don't worry I wanna, I wanna, Just follow me Baby just ignore the consequence, You look like you could use a little confidence. So follow me into a better dream in paradise. And now that you know what this feeling's like, You know you can have it for the rest of your life. Just follow me, just follow me",,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
